name	lprice	hprice	link	mallName	maker	brand	category1	category2	category3	category4	product_naver_id	search_id	crawling
팔도 뽀로로 보리차 220ml (리뉴얼)	3900		https://search.shopping.naver.com/gate.nhn?id=14936661536	네이버	팔도	팔도	출산/육아	아기간식	유아음료		14936661536	1	0
팔도 뽀로로 밀크맛 235ml (리뉴얼)	7760		https://search.shopping.naver.com/gate.nhn?id=31053247621	네이버	팔도	팔도	출산/육아	아기간식	유아음료		31053247621	1	0
뽀로로 음료수 밀크맛 235ml 24개	15700		https://search.shopping.naver.com/gate.nhn?id=82914623682	MY마트	팔도		출산/육아	아기간식	유아음료		82914623682	1	1
팔도 뽀로로 어린이 음료수 8종 12개+12개 (총24개)	21900		https://search.shopping.naver.com/gate.nhn?id=84488704294	팔도 공식판매처	팔도	팔도	출산/육아	아기간식	유아음료		84488704294	1	1
뽀로로 음료수 혼합 20펫	15900		https://search.shopping.naver.com/gate.nhn?id=83097087673	엔씨유통	팔도	팔도	출산/육아	아기간식	유아음료		83097087673	1	1
팔도 뽀로로 음료수 235mlx24 보리차 딸기 바나나맛 핑크퐁	17040		https://search.shopping.naver.com/gate.nhn?id=7901663118	옥션	팔도	팔도	출산/육아	아기간식	유아음료		7901663118	1	1
뽀로로 음료수 235ml x 24페트 핑크퐁 코코몽 헬로팬돌이 어린이음료수	15760		https://search.shopping.naver.com/gate.nhn?id=37583516976	11번가			출산/육아	아기간식	유아음료		37583516976	1	1
팔도 뽀로로 딸기맛 235ml	7900		https://search.shopping.naver.com/gate.nhn?id=8517091450	네이버	팔도	팔도	출산/육아	아기간식	유아음료		8517091450	1	2
팔도 뽀로로 음료수 혼합 12펫 - 인기상품 구성으로 다양하게	10880		https://search.shopping.naver.com/gate.nhn?id=33648178706	티몬		팔도	출산/육아	아기간식	유아음료		33648178706	1	1
이디야 홍삼 뽀로로주스(10개입) 어린이 음료수 사과매실 포도 블루베리 오렌지	15000		https://search.shopping.naver.com/gate.nhn?id=84085550944	월화수마켓	팔도	이디야커피	출산/육아	아기간식	유아음료		84085550944	1	1
뽀로로 음료수 5종 혼합구성 235mlx20개 어린이 밀크 딸기 블루베리 사과 샤인머스캣	16590		https://search.shopping.naver.com/gate.nhn?id=84195460574	체리코코글로발	팔도	팔도	출산/육아	아기간식	유아음료		84195460574	1	1
뽀로로 음료수 밀크 235ml X 12펫 / 어린이주스 어린이간식 음료수	7890		https://search.shopping.naver.com/gate.nhn?id=82648833795	해피해피몰	팔도	뽀로로	출산/육아	아기간식	유아음료		82648833795	1	1
팔도 뽀로로음료수 235ml (24개입) 밀크 딸기 사과 블루베리 보리	9700		https://search.shopping.naver.com/gate.nhn?id=83835617560	로샵			출산/육아	아기간식	유아음료		83835617560	1	1
뽀로로음료수 235ml 12 24개 블루베리 딸기 사과 밀크 바나나 5종	14010		https://search.shopping.naver.com/gate.nhn?id=34533006062	롯데ON	팔도		출산/육아	아기간식	유아음료		34533006062	1	1
어린이 음료수 / 뽀로로 음료수 235ml / 뽀로로 음료 (낱개)	550		https://search.shopping.naver.com/gate.nhn?id=81405224419	HS도매유통	팔도	팔도	출산/육아	아기간식	유아음료		81405224419	1	1
뽀로로 어린이음료수 밀크맛 235ml 12입	7900		https://search.shopping.naver.com/gate.nhn?id=82746762953	드링크워터	한국야쿠르트	팔도	출산/육아	아기간식	유아음료		82746762953	1	1
뽀로로 음료수 쥬스 어린이 간식 페트음료 생수 보리차 골라담기 7종	490		https://search.shopping.naver.com/gate.nhn?id=82944838070	제이엠팜	코웰식품	팔도	출산/육아	아기간식	유아음료		82944838070	1	1
뽀로로 음료수 밀크 235ml x 1펫 / 어린이음료 어린이주스 음료수	690		https://search.shopping.naver.com/gate.nhn?id=7536922118	해피해피몰	팔도	뽀로로	출산/육아	아기간식	유아음료		7536922118	1	1
뽀로로 음료수 주스 워터젤리 120ml 돌아기 간식	7800		https://search.shopping.naver.com/gate.nhn?id=84354066576	교촌리	팔도	뽀로로	출산/육아	아기간식	유아음료		84354066576	1	1
뽀로로 음료수 밀크맛 235mlx48입	50000		https://search.shopping.naver.com/gate.nhn?id=84737717500	빅펀치원	코웰식품	뽀로로	출산/육아	아기간식	유아음료		84737717500	1	1
뽀로로 뽀로로음료수 딸기맛 235ml 24펫 뽀로로음료	15910		https://search.shopping.naver.com/gate.nhn?id=37617238611	G마켓		뽀로로	출산/육아	아기간식	유아음료		37617238611	1	1
뽀로로 음료수 샤인머스켓 235ml x24개입	19410		https://search.shopping.naver.com/gate.nhn?id=38278011277	11번가		뽀로로	출산/육아	아기간식	유아음료		38278011277	1	1
팔도 뽀로로음료수 밀크맛 235ml(24개입)	24400		https://search.shopping.naver.com/gate.nhn?id=83026173376	대박백화점		뽀로로	출산/육아	아기간식	유아음료		83026173376	1	1
팔도 뽀로로 음료수 워터젤리 구미젤리 키즈홍삼 어린이간식 모음전	5400		https://search.shopping.naver.com/gate.nhn?id=38664727925	위메프		뽀로로	출산/육아	아기간식	유아음료		38664727925	1	1
팔도 뽀로로 워터젤리 포도 120ml	7000		https://search.shopping.naver.com/gate.nhn?id=18359797723	네이버	팔도	팔도	출산/육아	아기간식	유아음료		18359797723	1	2
뽀로로음료수 235ml 12개 블루베리 딸기 사과 밀크 바나나	13200		https://search.shopping.naver.com/gate.nhn?id=83615880485	블랙하모니	팔도	팔도	출산/육아	아기간식	유아음료		83615880485	1	1
뽀로로 음료수 밀크맛 235mlX24펫	15900		https://search.shopping.naver.com/gate.nhn?id=81501674232	반값마트N	팔도	팔도	출산/육아	아기간식	유아음료		81501674232	1	1
뽀로로 음료수 혼합 20펫	15940		https://search.shopping.naver.com/gate.nhn?id=38276321615	11번가			출산/육아	아기간식	유아음료		38276321615	1	1
뽀로로 음료수 새참	800		https://search.shopping.naver.com/gate.nhn?id=82676003893	새참	코웰식품	팔도	출산/육아	아기간식	유아음료		82676003893	1	1
뽀로로 음료수 밀크 235ml	990		https://search.shopping.naver.com/gate.nhn?id=82215169954	빅커피스토어	팔도	뽀로로	출산/육아	아기간식	유아음료		82215169954	1	1
뽀로로음료수 밀크 235ml 12페트	12000		https://search.shopping.naver.com/gate.nhn?id=86026556141	응다팔아2005	팔도	뽀로로	출산/육아	아기간식	유아음료		86026556141	1	1
뽀로로 음료수 오렌지 딸기 포도맛10개입	9300		https://search.shopping.naver.com/gate.nhn?id=85906810827	세븐지니		뽀로로	출산/육아	아기간식	유아음료		85906810827	1	1
뽀로로 음료수 워터젤리 포도 120ml 40개	29990		https://search.shopping.naver.com/gate.nhn?id=85877577948	샤핑데이	팔도	뽀로로	출산/육아	아기간식	유아음료		85877577948	1	1
팔도 뽀로로 음료수 밀크 235ml 24pet	17000		https://search.shopping.naver.com/gate.nhn?id=37667196596	쿠팡	팔도	뽀로로	출산/육아	아기간식	유아음료		37667196596	1	1
뽀로로 음료수 샤인머스켓 235ml x24개입	14000		https://search.shopping.naver.com/gate.nhn?id=85964354332	친절한 아줌마	팔도	팔도	출산/육아	아기간식	유아음료		85964354332	1	1
뽀로로 음료수 바나나맛 235ml 4개세트	3140		https://search.shopping.naver.com/gate.nhn?id=82503622651	MEGACOFFEE	코웰식품	뽀로로	출산/육아	아기간식	유아음료		82503622651	1	1
뽀로로 음료수 샤인머스켓 235ml x24개입	19850		https://search.shopping.naver.com/gate.nhn?id=39302808987	인터파크쇼핑	팔도	뽀로로	출산/육아	아기간식	유아음료		39302808987	1	1
뽀로로 음료수 딸기 235ml	990		https://search.shopping.naver.com/gate.nhn?id=38698239833	빅커피		뽀로로	출산/육아	아기간식	유아음료		38698239833	1	1
뽀로로음료수 235mlx24	15010		https://search.shopping.naver.com/gate.nhn?id=82461150446	기현마켓			출산/육아	아기간식	유아음료		82461150446	1	1
뽀로로 팔도 뽀로로 음료수 블루베리 235ml 24개	15050		https://search.shopping.naver.com/gate.nhn?id=39590818735	G마켓		뽀로로	출산/육아	아기간식	유아음료		39590818735	1	1
뽀로로 음료수 딸기맛 235mlx24입 BOX	34900		https://search.shopping.naver.com/gate.nhn?id=39697106034	아리즈마트			출산/육아	아기간식	유아음료		39697106034	1	1
뽀로로음료수블루베리 어린이 소풍 과일 음료 235ml 24개	19000		https://search.shopping.naver.com/gate.nhn?id=84904834087	땡그리나		뽀로로	출산/육아	아기간식	유아음료		84904834087	1	1
뽀로로음료수 샤인머스캣맛 235ml 24펫.	16800		https://search.shopping.naver.com/gate.nhn?id=84996187437	황금마트G	팔도	뽀로로	출산/육아	아기간식	유아음료		84996187437	1	1
뽀로로 뽀로로음료수 밀크맛 235ml 24펫.	15910		https://search.shopping.naver.com/gate.nhn?id=35436524891	G마켓		뽀로로	출산/육아	아기간식	유아음료		35436524891	1	1
(골라담기) 뽀로로 음료수 8종 샤인머스캣 보리차 낱개	750		https://search.shopping.naver.com/gate.nhn?id=82501576693	고래마트N	팔도	팔도	출산/육아	아기간식	유아음료		82501576693	1	1
